Week,Score
2009-12-27,100
2010-01-03,83
2010-01-10,70
2010-01-17,72
2010-01-24,73
2010-01-31,73
2010-02-07,72
2010-02-14,74
2010-02-21,72
2010-02-28,76
2010-03-07,76
2010-03-14,75
2010-03-21,78
2010-03-28,80
2010-04-04,75
2010-04-11,71
2010-04-18,69
2010-04-25,79
2010-05-02,74
2010-05-09,68
2010-05-16,71
2010-05-23,75
2010-05-30,69
2010-06-06,72
2010-06-13,66
2010-06-20,68
2010-06-27,71
2010-07-04,70
2010-07-11,59
2010-07-18,48
2010-07-25,47
2010-08-01,47
2010-08-08,48
2010-08-15,51
2010-08-22,53
2010-08-29,53
2010-09-05,54
2010-09-12,59
2010-09-19,58
2010-09-26,60
2010-10-03,52
2010-10-10,56
2010-10-17,59
2010-10-24,61
2010-10-31,58
2010-11-07,64
2010-11-14,64
2010-11-21,70
2010-11-28,75
2010-12-05,71
2010-12-12,66
2010-12-19,57
2010-12-26,56
2011-01-02,61
2011-01-09,57
2011-01-16,55
2011-01-23,61
2011-01-30,56
2011-02-06,56
2011-02-13,50
2011-02-20,50
2011-02-27,50
2011-03-06,47
2011-03-13,49
2011-03-20,49
2011-03-27,50
2011-04-03,50
2011-04-10,48
2011-04-17,48
2011-04-24,43
2011-05-01,50
2011-05-08,49
2011-05-15,48
2011-05-22,50
2011-05-29,51
2011-06-05,51
2011-06-12,51
2011-06-19,51
2011-06-26,48
2011-07-03,48
2011-07-10,51
2011-07-17,48
2011-07-24,48
2011-07-31,51
2011-08-07,50
2011-08-14,52
2011-08-21,54
2011-08-28,59
2011-09-04,53
2011-09-11,55
2011-09-18,63
2011-09-25,59
2011-10-02,61
2011-10-09,58
2011-10-16,62
2011-10-23,61
2011-10-30,59
2011-11-06,60
2011-11-13,62
2011-11-20,63
2011-11-27,71
2011-12-04,70
2011-12-11,71
2011-12-18,62
2011-12-25,58
